caseId,sourceName,articleTitle,articleUrl,canonicalEntity,entityType,eventType,publishBlocked,failureCodes,recommendedFixes
1da2cb9c4f8a6de3,Variety,‘The Boys’ Sets ‘Call of Duty: Mobile’ In-Game Collab Ahead of Final Season (Gaming News Roundup),https://variety.com/2026/gaming/news/gaming-news-roundup-april-6-1236709907/,The Boys' Sets,person,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
232215d9d90ef12d,Variety,"ATX TV Festival to Present Inaugural Creative Impact Award to Warren Littlefield, Honor Bill Lawrence With Showrunner Award",https://variety.com/2026/tv/news/atx-tv-festival-warren-littlefield-bill-lawrence-awards-1236712895/,ATX TV Festival,person,return,true,CAPTION_BROKEN_QUOTE|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.
61a3bf6ebd02d2f3,Variety,"‘Welcome to Wrexham’ Renewed for Three More Seasons at FX, Hulu",https://variety.com/2026/tv/news/welcome-to-wrexham-renewed-three-seasons-fx-hulu-1236713205/,Welcome to Wrexham,tv,renewal,false,,
d22d2ae64a21a00c,Variety,Natasha Lyonne Walks Red Carpet Hours After She Called Out Report About Being Kicked Off a Flight,https://variety.com/2026/film/news/natasha-lyonne-red-carpet-kicked-off-flight-euphoria-1236713253/,Natasha Lyonne Walks Red,person,release_date,true,IMAGE_CANONICAL_ENTITY_MISMATCH|IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.|Require selected images to be grounded in canonical allowed entities.
3199502759fb4871,Variety,YouTube Premium and YouTube Music Subscription Prices Are Going Up in the U.S.,https://variety.com/2026/digital/news/youtube-premium-pirce-increase-youtube-music-us-1236713223/,YouTube Premium,person,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
67fe756b77514c1f,Variety,Jimmy Kimmel Airs Photo of Melania Trump and Jeffrey Epstein After First Lady Makes Public Address Denying Epstein Ties,https://variety.com/2026/tv/news/jimmy-kimmel-melania-trump-jeffrey-epstein-photo-1236713229/,never been friends with Epstein.,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
ce1094037cff99a8,Variety,"‘All the Evil in the World’ Doc, About Murder of Leftist Italian Student in Egypt, Sparks Political Storm After Being Denied Government Funding",https://variety.com/2026/film/global/doc-murdered-italian-student-egypt-political-storm-1236713121/,All the Evil in the World,movie,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
2aaa3db33aa96c6b,Variety,AI-Assisted Captain James Hook Feature in Works at Moonmax (EXCLUSIVE),https://variety.com/2026/film/global/ai-assisted-captain-james-hook-feature-moonmax-1236713197/,AI-Assisted Captain James Hook,person,other,true,IMAGE_TMBD_CANDIDATE_ZERO_TOKEN_OVERLAP,Add canonical token overlap gating before accepting TMDb title candidates.
e182e1868a119c38,Variety,Nike Ja 3 ‘Jurassic Park’ Sneakers: Here’s Where to Score the Signature Shoes Online,https://variety.com/2026/shopping/news/nike-ja-3-jurassic-park-raptor-sneakers-buy-online-1236710482/,Jurassic Park,tv,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
a02ac317b9490588,Variety,Alex MacCallum Elevated to CNN’s Chief Operating Officer,https://variety.com/2026/tv/news/alex-maccallum-cnn-chief-operating-officer-1236713191/,Alex MacCallum Elevated,person,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
