caseId,sourceName,articleTitle,articleUrl,scope,canonicalEntity,entityType,eventType,publishBlocked,failureCodes,recommendedFixes
61a3bf6ebd02d2f3,Variety,"‘Welcome to Wrexham’ Renewed for Three More Seasons at FX, Hulu",https://variety.com/2026/tv/news/welcome-to-wrexham-renewed-three-seasons-fx-hulu-1236713205/,screenrender_core,Welcome to Wrexham,tv,renewal,false,,
d22d2ae64a21a00c,Variety,Natasha Lyonne Walks Red Carpet Hours After She Called Out Report About Being Kicked Off a Flight,https://variety.com/2026/film/news/natasha-lyonne-red-carpet-kicked-off-flight-euphoria-1236713253/,screenrender_core,Natasha Lyonne Walks Red,person,release_date,true,IMAGE_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Require selected images to be grounded in canonical allowed entities.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
ce1094037cff99a8,Variety,"‘All the Evil in the World’ Doc, About Murder of Leftist Italian Student in Egypt, Sparks Political Storm After Being Denied Government Funding",https://variety.com/2026/film/global/doc-murdered-italian-student-egypt-political-storm-1236713121/,screenrender_core,All the Evil in the World,movie,other,true,CAPTION_BROKEN_QUOTE|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Reject broken quote fragments before captions can pass final validation.|Validate caption headline entity against canonical media title and allowed entities.
9905d2c40d85b258,Deadline,Rob Mac & Ryan Reynolds’ ‘Welcome To Wrexham’ Renewed For 3 More Seasons By FX,https://deadline.com/2026/04/welcome-to-wrexham-renewed-3-seasons-fx-1236786277/,screenrender_core,Welcome To Wrexham,tv,renewal,true,CAPTION_CANONICAL_ENTITY_MISMATCH,Validate caption headline entity against canonical media title and allowed entities.
ce054b8d6f428ff6,Deadline,Tyler Perry Joins ‘Joe Turner’s Come And Gone’ Broadway Producing Team,https://deadline.com/2026/04/tyler-perry-joe-turners-come-and-gone-broadway-1236785887/,screenrender_core,Joe Turner,movie,casting,true,CAPTION_ARTICLE_PACKAGE_LABEL|CAPTION_HEADLINE_JUNK|CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY|CAPTION_PACKAGE_LABEL_LEAK|CAPTION_MALFORMED_HEADLINE,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.|Strip outlet package labels before deterministic caption generation.
18229abda01dc3fb,Deadline,MK2 Boards Ground-Breaking Rwandan Cannes-Selected Film ‘Ben’Imana’,https://deadline.com/2026/04/mk2-cannes-rwanda-benimana-1236786375/,screenrender_core,Boards Ground-Breaking Rwandan Cannes-Selected,person,casting,true,IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.
53249f0f66ff5099,Deadline,"‘The Last Thing He Told Me’ Star Judy Greer Breaks Down Season 2 Finale Twists & “Refreshing” Role Of Quinn, Who “Doesn’t Crumble”",https://deadline.com/2026/04/judy-greer-the-last-thing-he-told-me-season-2-end-interview-1236786239/,screenrender_core,The Last Thing He Told Me,tv,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_COMPANY_LOGO_MISUSED,Block company logos as primary images when a project or person entity exists.|Validate caption headline entity against canonical media title and allowed entities.
cff3fa2d15e278c2,Deadline,Finn Wolfhard Told ‘Malcolm in the Middle’ Creator “F*ck Yeah” To Revival Cameo: “He’s Such A Big Fan”,https://deadline.com/2026/04/finn-wolfhard-malcolm-in-the-middle-fck-yeah-revival-cameo-1236786293/,screenrender_core,Finn Wolfhard Told,person,reveal,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PERSON_FALLBACK_NOT_ALLOWED,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
8a97c16bbc9cc4a5,Deadline,"‘Death Of A Salesman’ Broadway Review: Nathan Lane And Laurie Metcalf Shine In Director Joe Mantello’s Stark, Blistering Revival",https://deadline.com/2026/04/death-of-a-salesman-broadway-review-nathan-lane-1236784788/,screenrender_core,Death Of A Salesman,movie,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH,Validate caption headline entity against canonical media title and allowed entities.
31190c5fd08d4d63,Deadline,‘Malcolm in the Middle’s Bryan Cranston & Jane Kaczmarek On What Keeps Hal & Lois Together: “They Have Good Sex”,https://deadline.com/2026/04/malcolm-in-the-middle-bryan-cranston-jane-kaczmarek-good-sex-1236786200/,screenrender_core,They Have Good Sex,tv,other,true,CAPTION_CANONICAL_ENTITY_MISMATCH|IMAGE_NOT_FOUND|IMAGE_NOT_FOUND_FALSE_BLOCK|PROJECT_FALLBACK_EMPTY,Add a recovery path for valid TMDb assets once canonical extraction is reliable.|Improve fallback policy for feed images only when they are explicitly project-linked and renderable.|Validate caption headline entity against canonical media title and allowed entities.
